1.     Sei a conoscenza dell’esistenza dei Sustainable Developement Goals (obbiettivi di sviluppo sostenibile) delle Nazioni Unite?,"2.     Quanto ritieni importante la questione sostenibilità sociale, ambientale ed economica? Indicalo nella scala da 1 a 10 ",3.     Credi che la responsabilità di uno sviluppo sostenibile ricada più su:,4.     Indica quanto sei d’accordo con la seguente affermazione: “Realtà sostenibili ed incentrate sull’economia circolare sono essenziali per il raggiungimento di una realtà sostenibile”,5.     Vorresti essere più coinvolto nelle decisioni statali riguardanti normative sulla sostenibilità?,6.     [Se alla 5. hai risposto sì altrimenti passa alla prossima] Perché sì?,7. [Se alla 5. hai risposto no altrimenti passa alla prossima] Perché no?,8.     Pensi sia possibile essere in grado di gestire e sfruttare le risorse naturali entro il 2030 (riduzione dell'utilizzo delle risorse non sostenibili ed aumento di quelle sostenibili)?,9.     Indica quando sei d’accordo con la seguente affermazione: “penso che l’impegno delle multinazionali nell’adozione di pratiche sostenibili e nella sensibilizzazione in campo sostenibile sia essenziale”,10.     Pensi sia possibile ridurre in maniera sostanziale la produzione di rifiuti entro il 2030?,11.     Quanto è importante per te la riduzione dello spreco di alimenti nel raggiungimento di una società sostenibile?,12.     Indica quali dei seguenti obiettivi sono importanti nella battaglia al cambiamento climatico (risposta multipla),13.     Indica quanto sei d’accordo con la seguente affermazione: “è importante valorizzare e sostenere le piccole imprese di produzione alimentare (agricola e non)”,"14.     Quanto è importante per te l’implementazione di tecniche agricole che incrementino: la produzione per ettaro, la resilienza dell’ecosistema a disastri ecologici e la qualità dei terreni?",15.     Quando vai al supermercato quanto spesso pensi alla sostenibilità dei prodotti che acquisti?,16.     Che categoria di prodotti sostenibili acquisti normalmente? (risposta multipla),17.     Qual è il motivo per cui acquisti prodotti sostenibili?,18.     In una scala da 1 a 10 indica quanto è importante l’ecosostenibilità dei prodotti acquistati,19.     In una scala da uno a 10 indica quanto è importante l’estetica dei prodotti venduti,20.     Sei soddisfatt* dai prodotti sostenibili presenti al supermercato?," 
21.    [In caso di risposta negativa altrimenti passa alla prossima] qual è la ragione per cui non sei soddisfatt*?",22.     Che settore secondo te ha una varietà di prodotti troppo bassa?,23.     Che prodotti vorresti venissero aggiunti? ,"24.     Indica quanto sei d’accordo con la seguente affermazione “La trasparenza riguardo ai prodotti sostenibili è essenziale (provenienza, produttore, sostenibilità)”",25.     Indica quanto sei d’accordo con la seguente affermazione “I negozi sostenibili sono trasparenti riguardo alla sostenibilità e all’impatto ambientale dei loro prodotti”,26.     Che informazioni ritieni debbano essere date in aggiunta a quelle già fornite?,27.     Quale delle seguenti caratteristiche del negozio ritieni tra le più importanti? (risposta multipla),28.     Quanto influisce la posizione del negozio nelle tue decisioni di acquisto?,29.     Vorresti avere più informazioni riguardo alle iniziative sostenibili e ai negozi sostenibili nella tua zona?,30.     Come vorresti ricevere queste informazioni?,31.     Pensi che valga la pena di acquistare prodotti alimentari sostenibili?,32.     [Se hai risposto sì alla 31.] Perché sì?,33.     [Se hai risposto no alla 31.] Perché no?,34.     Qual è il tuo genere?,35.     Quanti anni hai?,36.     Qual è la tua occupazione?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sì,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,Sì,8,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Poco,Spesso,,La sostenibilità ambientale,8,8,No,Il prezzo elevato dei prodotti offerti,Gastronomia,,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Dimensione del negozio;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,9,Sì,Tramite i social network,Sì,Perché sono più naturali delle loro controparti non sostenibili,,Donna,18-30,Studente
No,9,Stato,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che coinvolgimento significhi anche sensibilizzazione,,No,D’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Importante,Ogni tanto,a. Verdure,La sostenibilità ambientale,8,7,Non molto,Poca varietà di prodotti offerti,Gastronomia,,D’accordo,In disaccordo,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti,6,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Uomo,18-30,Studente
Sì,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Molto importante,Sempre,a. Verdure;b. Carne;c. Latte e derivati,Tutte le precedenti,10,5,Non molto,Poca varietà di prodotti offerti,Verdure,Tutti i prodotti vegetali,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Disposizione dei prodotti,8,Sì,Tramite i social network,Sì,Tutte le precedenti,,Uomo,18-30,Impiegato
Sì,9,Aziende,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,Sì,6,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,Indifferente,Importante,Spesso,a. Verdure,La qualità dei prodotti venduti,7,6,Non molto,Il prezzo elevato dei prodotti offerti,Verdure,Frutta di stagione,Indifferente,In disaccordo,Informazioni riguardo al produttore,Dimensione del negozio;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,7,No,Tramite i social network,Sì,Perché sono di una qualità più alta,,Uomo,18-30,Impiegato
Sì,7,Aziende,D’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,8,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,D’accordo,Importante,Ogni tanto,b. Carne,Tutte le precedenti,6,4,Sì,,Latte e derivati,,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Orari di apertura;Dimensione del negozio,8,No,,Sì,Tutte le precedenti,,Uomo,18-30,Impiegato
Sì,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,No,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Indifferente,Spesso,b. Carne,La sostenibilità ambientale,8,5,No,Il prezzo elevato dei prodotti offerti,Gastronomia,,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,9,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Studente
Sì,8,Stato,D’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,D’accordo,Sì,7,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,Indifferente,Importante,Mai,c. Latte e derivati,La qualità dei prodotti venduti,7,5,Non molto,Il prezzo elevato dei prodotti offerti,Verdure,,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Disposizione dei prodotti,9,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Uomo,18-30,Studente
Sì,10,Aziende,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Importante,Ogni tanto,b. Carne;c. Latte e derivati,La sostenibilità ambientale,6,8,Non molto,Il prezzo elevato dei prodotti offerti,Verdure,,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Tramite i social network,Sì,Perché sono più naturali delle loro controparti non sostenibili,,Donna,18-30,Studente
Sì,9,Stato,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,D’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Importante,Spesso,a. Verdure,Tutte le precedenti,8,6,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,,D’accordo,D’accordo,Informazioni riguardo al produttore,Orari di apertura;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,6,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,18-30,Impiegato
